Country;Month;Mean of the LMCP per hour (euro/MW);Min;Max
Frankreich;2020-01;5.34;0.0;11.82
Frankreich;2020-02;6.07;2.98;12.66
Frankreich;2020-03;5.48;3.0;10.92
Frankreich;2020-04;6.96;3.26;11.52
Frankreich;2020-05;5.72;2.71;18.23
Frankreich;2020-06;5.54;2.71;8.76
Frankreich;2020-07;6.08;3.46;17.91
Frankreich;2020-08;7.28;4.77;13.81
Frankreich;2020-09;10.24;7.22;18.96
Frankreich;2020-10;8.76;3.06;14.29
Frankreich;2020-11;6.97;3.77;11.62
Frankreich;2020-12;6.37;3.37;13.58
Frankreich;2021-01;4.77;2.44;9.86
Frankreich;2021-02;5.51;1.77;12.59
Frankreich;2021-03;6.31;2.5;17.06
Frankreich;2021-04;12.71;6.05;20.81
Frankreich;2021-05;16.75;4.42;29.65
Frankreich;2021-06;12.78;5.41;16.92
Frankreich;2021-07;17.38;10.8;36.1
Frankreich;2021-08;14.79;7.96;28.3
Frankreich;2021-09;17.59;12.21;32.98
Frankreich;2021-10;49.36;18.47;263.79
Frankreich;2021-11;24.9;12.66;38.75
Frankreich;2021-12;26.03;10.74;92.14
Frankreich;2022-01;16.95;5.85;30.17
Frankreich;2022-02;21.23;5.38;41.53
Frankreich;2022-03;25.89;14.29;51.53
Frankreich;2022-04;21.85;9.66;49.35
Frankreich;2022-05;18.93;7.96;30.32
Frankreich;2022-06;17.76;8.01;32.89
Frankreich;2022-07;26.36;13.73;66.04
Frankreich;2022-08;32.92;14.04;79.46
Frankreich;2022-09;24.72;13.33;38.95
Frankreich;2022-10;32.59;15.8;72.57
Frankreich;2022-11;15.25;7.43;29.44
Frankreich;2022-12;12.25;3.78;22.8
Frankreich;2023-01;8.69;3.23;22.85
Frankreich;2023-02;13.81;5.14;28.8
Frankreich;2023-03;12.64;3.18;22.63
Frankreich;2023-04;6.98;1.85;13.84
Frankreich;2023-05;5.64;0.93;12.64
Frankreich;2023-06;5.4;0.67;31.64
Frankreich;2023-07;4.85;1.8;11.87
Frankreich;2023-08;5.59;1.7;11.15
Frankreich;2023-09;6.73;1.73;16.15
Frankreich;2023-10;8.7;2.05;16.63
Frankreich;2023-11;7.1;2.58;12.71
Frankreich;2023-12;4.1;1.86;7.35
Frankreich;2024-01;1.37;0.86;3.09
Frankreich;2024-02;1.46;1.04;1.74